Usuario,Cod. Grupo,Programa,Grupo de Usuários e descrição
01-aguinaldo,1,btb100aa,1      001 - Matriz
01-aguinaldo,1,cc0504,1      001 - Matriz
01-aguinaldo,1,cc0504a,1      001 - Matriz
01-aguinaldo,1,cc0504b,1      001 - Matriz
01-aguinaldo,1,cc0504c,1      001 - Matriz
01-aguinaldo,1,cc0504d,1      001 - Matriz
01-aguinaldo,1,cd0030,1      001 - Matriz
01-aguinaldo,1,cd0181,1      001 - Matriz
01-aguinaldo,1,cd0182,1      001 - Matriz
01-aguinaldo,1,cd0330,1      001 - Matriz
01-aguinaldo,1,CD0999,1      001 - Matriz
01-aguinaldo,1,ce0206,1      001 - Matriz
01-aguinaldo,1,ce0419,1      001 - Matriz
01-aguinaldo,1,crm3001,1      001 - Matriz
01-aguinaldo,1,ecd1017,1      001 - Matriz
01-aguinaldo,1,ees3001,1      001 - Matriz
01-aguinaldo,1,esacr3012,1      001 - Matriz
01-aguinaldo,1,eslf003,1      001 - Matriz
01-aguinaldo,1,espd4050,1      001 - Matriz
01-aguinaldo,1,html-for.forecast,1      001 - Matriz
01-aguinaldo,1,html-rmf.recMuniFix,1      001 - Matriz
01-aguinaldo,1,spre102,1      001 - Matriz
01-aguinaldo,1,Z01UN006,1      001 - Matriz
01-aguinaldo,1,z02un007,1      001 - Matriz
01-AKIO,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-AKIO,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-AKIO,1,bas_pais,1      001 - Matriz
01-AKIO,1,bas_palavra_chave,1      001 - Matriz
01-AKIO,1,BL3000,1      001 - Matriz
01-AKIO,1,btb010aa,1      001 - Matriz
01-AKIO,1,btb100aa,1      001 - Matriz
01-AKIO,1,cc0504,1      001 - Matriz
01-AKIO,1,cc0504a,1      001 - Matriz
01-AKIO,1,cc0504b,1      001 - Matriz
01-AKIO,1,cc0504c,1      001 - Matriz
01-AKIO,1,cc0504d,1      001 - Matriz
01-AKIO,1,cd0030,1      001 - Matriz
01-AKIO,1,cd0181,1      001 - Matriz
01-AKIO,1,cd0182,1      001 - Matriz
01-AKIO,1,cd0330,1      001 - Matriz
01-AKIO,1,CD0999,1      001 - Matriz
01-AKIO,1,ce0206,1      001 - Matriz
01-AKIO,1,ce0419,1      001 - Matriz
01-AKIO,1,crm3001,1      001 - Matriz
01-AKIO,1,ecd1017,1      001 - Matriz
01-AKIO,1,ees3001,1      001 - Matriz
01-AKIO,1,esacr3012,1      001 - Matriz
